electric-current: breh
associative-case: sloh
superlative-case: sluh
planetary-gender: pxeh
reciprocal-voice: syoh
core-benefactive: kfeh
else-if: kyeh
successive-clause: lyoh
soon-future-tense: rwuh
applicative-voice: pyuh
antipassive-voice: ps6h
continutive-aspect: tfuh
necessitative-mood: nr6h
single-action-verb: qyah
superlative-degree: tluh
existential-clause: sy6h
present-participle: vrah
luminous-intensity: kyuh
singulative-number: glih
passive-participle: pfoh
excessive-duration: kxuh
amount-of-substance: m6
postpositional-case: pwoh
elective-quantifier: vwih
epenthetic-morpheme: p6
negatory-quantifier: gwah
connective-particle: qyih
remote-future-tense: tl6h
frequentative-aspect: f6
distributive-pronoun: bzih
allocutive-agreement: ks6h
universal-quantifier: xlah
floating-point-number: fu
existential-quantifier: sweh
alternative-quantifier: l6
past-passive-participle: xyih
locative-directional-case: kfoh
counterfactual-conditional: fyoh
